timestamp (python), timestamp (Teensy), Angular pos (deg), AGC, Status, Angular Vel (deg),,,
42.19261074,0,309.5507813,92,103,-8.7890625,0,0,309.5507813
42.20261168,10,309.5507813,92,103,0,0,0.010000944,42.19261074
42.21361089,21,309.5507813,92,103,0,0,0.021000147,
42.22361255,31,309.5507813,92,103,0,0,0.031001806,
42.23360944,41,309.5507813,92,103,0,0,0.040998697,
42.24461365,52,309.6386719,92,103,8.7890625,0.087890625,0.052002907,
42.25461173,62,309.5507813,92,103,-7.990057,0,0.06200099,
42.26561165,73,309.5507813,92,103,0,0,0.073000908,
42.2756114,83,309.6386719,92,103,7.990057,0.087890625,0.08300066,
42.28561211,94,309.7265625,92,103,8.7890625,0.17578125,0.093001366,
42.2966125,104,309.7265625,92,103,0,0.17578125,0.10400176,
42.30660963,114,309.8144531,92,103,7.990057,0.263671875,0.11399889,
42.31761146,125,309.9023438,92,103,8.7890625,0.3515625,0.125000715,
42.32761025,135,309.9902344,92,103,7.990057,0.439453125,0.134999514,
42.33861136,146,310.078125,92,103,8.7890625,0.52734375,0.146000624,
42.34861255,156,310.1660156,92,103,7.990057,0.615234375,0.156001806,
42.3586092,167,310.1660156,92,103,0,0.615234375,0.165998459,
42.36961317,177,310.2539063,92,103,8.7890625,0.703125,0.17700243,
42.37961102,187,310.2539063,92,103,0,0.703125,0.187000275,
42.39088774,198,310.2539063,92,103,0,0.703125,0.198276997,
42.40087032,208,310.1660156,92,103,-7.990057,0.615234375,0.208259583,
42.41087055,219,310.1660156,92,103,0,0.615234375,0.218259811,
42.42187285,229,310.078125,92,103,-8.7890625,0.52734375,0.229262114,
42.43187118,239,310.078125,92,103,0,0.52734375,0.239260435,
42.4428699,250,309.9902344,92,103,-8.7890625,0.439453125,0.250259161,
42.45286942,260,309.9902344,92,103,0,0.439453125,0.260258675,
42.46286964,271,309.9023438,92,103,-8.7890625,0.3515625,0.270258904,
42.47387242,281,309.9023438,92,103,0,0.3515625,0.281261683,
42.48387218,292,309.9023438,92,103,0,0.3515625,0.291261435,
42.49487019,302,309.9023438,92,103,0,0.3515625,0.302259445,
